created_at,display_name,followers,friends,handler_name,likes,retweets,text,user_description,user_location
2019-04-01 12:16:17,Neelabh Dubey,415.0,1958.0,neelabhdubey,0.0,217.0,"RT @SalmanSoz: Dear PM @narendramodi:

Hindu Muslim Sikh Issai

Aapas main hain bhai bhai

#ChildhoodLesson
#ModiMatBanao","Sales Guy.Wanderer.Dreamer.Not Right/Left/Extremism.Tweets r PERSONAL views.RT/Like ❌endorsements.
Agenda:Good-Gyan,Transparency,defeat divisive forces etc.","Fatehpur(U.P.),DEL,CCU,RAJ"
2019-04-01 12:16:16,Mein Hun Berojgaar 🇮🇳 Shahid Ansari,649.0,622.0,Shahidbabu786,0.0,211.0,"RT @IYC: पांच सालों में देश हुआ बेहाल
पर भाजपा के नेता हो गए हैं मालामाल
#ModiMatBanao 

@RahulGandhi @priyankagandhi https://t.co/gul8aMSO…","मेरी पेहचान हिंदुस्तान , मेरी अच्छाई किसी के तारीफ की मोहताज़ नहीं,","Asansol , Jamui , India"
2019-04-01 12:16:14,ZeyaEqubal,573.0,610.0,ZeyaEqubal,0.0,1083.0,"RT @INCIndia: Black money is still missing, Nirav Modi has still not been brought to justice &amp; the youth are still looking for jobs. The on…",,"Bettiah, West Champaran, Bihar"
2019-04-01 12:16:14,Asma khatun,2142.0,381.0,SarifAishwaria,0.0,7.0,RT @Secular_Hoon: @vilassawadh @murtuzaspeaks @kadavasach1 @AwarenessG @LeenaCong @HoneeArora @prk20027610 @mogemboz @avinash_kadbe @Anurag…,"Indian,  West Bengalite",
2019-04-01 12:16:13,जननायक टीम कोटा,48.0,30.0,Team_kota890,0.0,61.0,"RT @_lokeshsharma: देश को चूना लगाकर वो फिर से सत्ता में आना चाहते हैं, 
देश मे मूर्ख कितने हैं, वो फिर से आजमाना चाहते हैं...!!
#ModiMatBa…",,"Kota, India"
2019-04-01 12:16:10,Apolitical Guran,124.0,67.0,SelctiveAmnesia,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…","AAP Ideology Bhakt. Since the same principles have been removed from AAP, I am now in search of a new beginning in Indian Politics. No more an AAPTARD.",Non Reliable Indian
2019-04-01 12:16:10,जननायक टीम कोटा,48.0,30.0,Team_kota890,0.0,37.0,"RT @_lokeshsharma: कैमरे पर चुनावी फसल काटती भाजपा की अदाकारा!!
#ModiMatBanao 
#AprilFools 
#AprilFoolDay https://t.co/Vfp6WXcfbs",,"Kota, India"
2019-04-01 12:16:08,RANJANA SIROHA INC,618.0,348.0,RanjanaSiroha,0.0,217.0,"RT @SalmanSoz: Dear PM @narendramodi:

Hindu Muslim Sikh Issai

Aapas main hain bhai bhai

#ChildhoodLesson
#ModiMatBanao",DR ASHOK TANWAR,"Narnaul, India"
2019-04-01 12:16:07,Fardeen 💥,103.0,247.0,SRKs_SyCo,0.0,284.0,"RT @SalmanSoz: 🤔

Chhattisgarh - Hindus 93.25%
Madhya Pradesh - Hindus 90.89%
Rajasthan - Hindus 88.49%

Source: Census 2011

Congress 3 -…",,"New Delhi, India"
2019-04-01 12:16:02,Mohd Aarif Mansoori,311.0,239.0,Arifsitapur,0.0,16.0,"RT @CHOTIWALA: अंतर स्पष्ठ है.... अब बस और नहीं
#ModiMatBanao https://t.co/Iyua3GQDFo",sitapur utter pradesh,"sitapur Uttar Pradesh, India"
2019-04-01 12:16:00,Tushar Lokhande,129.0,652.0,TusharLokhand20,0.0,277.0,"RT @satyajeettambe: I told my daughter , I will take you to Disneyland next Sunday ... 
She said "" #ModiMatBanao baba "" ! 

बच्चा बच्चा जान…",Indian National Congress.Nashik District Social Media Co-Ordinator. @iyc,"Nashik, India"
2019-04-01 12:15:59,VikaS 🇮🇳,49.0,33.0,vikasbharat22,0.0,1.0,"RT @vikasbharat22: @dhruv_rathee #ModiMatBanao @dhruv_rathee #AprilFool 
MY FIRST EVER POETRY...
PLZ READ..MUST READ MODI.. https://t.co/r4…","first of all I'm an INDIAN
Die-hard FAN of @iamsrk
I wanna be a music record producer...
You better lose yourself in the music, the moment♪","Barmer, India"
