Poster,Rank & Title,IMDb Rating,Your Rating,Watchlist
"https://m.media-amazon.com/images/M/MV5BZTg2YWFkOGMtYWExMy00YmFiLTk2YjctNTAzZDk5MjdhMzdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg",24. Khosla Ka Ghosla! (2006),8.2,,
"https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_UY67_CR3,0,45,67_AL_.jpg",25. Gully Boy (2019),8.2,,
"https://m.media-amazon.com/images/M/MV5BOTEyZmIyOWEtNjBkOS00ZjcyLThiMTEtZWJhNTI1OTRjMDk4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR1,0,45,67_AL_.jpg",26. The World of Apu (1959),8.2,,
"https://m.media-amazon.com/images/M/MV5BZjU3MWM1MDYtZGE2Mi00MTk1LWJlOWEtNmJlN2RkOTBjYWVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR2,0,45,67_AL_.jpg",27. Vada Chennai (2018),8.2,,
"https://m.media-amazon.com/images/M/MV5BZTQ1YTI4NzYtODJmZi00NTcwLWE3ZWItODZiZThhZWJiNTI4XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UX45_CR0,0,45,67_AL_.jpg",28. Dhuruvangal Pathinaaru (2016),8.2,,
"https://m.media-amazon.com/images/M/MV5BMTYyMDE1NjQ1Nl5BMl5BanBnXkFtZTgwMDAyMTUzMDE@._V1_UY67_CR2,0,45,67_AL_.jpg",29. Shahid (2012),8.2,,
"https://m.media-amazon.com/images/M/MV5BMTYzODg0Mjc4M15BMl5BanBnXkFtZTgwNzY4Mzc3NjE@._V1_UY67_CR2,0,45,67_AL_.jpg",30. Talvar (2015),8.2,,
"https://m.media-amazon.com/images/M/MV5BYmJhZmJlYTItZmZlNy00MGY0LTg0ZGMtNWFkYWU5NTA1YTNhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg",31. Drishyam (2015),8.2,,
"https://m.media-amazon.com/images/M/MV5BMTQxNTI5ODI1N15BMl5BanBnXkFtZTcwMDc2ODgzMQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",32. Mughal-E-Azam (1960),8.2,,
"https://m.media-amazon.com/images/M/MV5BMjI1NjI2OTM4N15BMl5BanBnXkFtZTgwMzQ2MzkwNzE@._V1_UY67_CR1,0,45,67_AL_.jpg",33. Aparajito (1956),8.2,,
"https://m.media-amazon.com/images/M/MV5BNTI5MmE5M2UtZjIzYS00M2JjLWIwNDItYTY2ZWNiODBmYTBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg",34. Black (2005),8.2,,
"https://m.media-amazon.com/images/M/MV5BZWY2MGUzM2QtZDljNy00ZTg5LTk0ODQtMjE1ODhjMzcyMDg1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR2,0,45,67_AL_.jpg",35. Hera Pheri (2000),8.2,,
"https://m.media-amazon.com/images/M/MV5BOTY0MzA3NmQtMDQ2YS00MmIyLTkzNWItMjkyMmYyMmZkNDI0XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX45_CR0,0,45,67_AL_.jpg",36. Jigarthanda (2014),8.2,,
