Job_url,Job_id,Job_title,Company,Key_skill,Location,Salary,Date
https://www.naukri.com/job-listings-Data-Science-sapient-perm-Keyassignments-IT-Solutions-Pvt-Ltd-Bengaluru-4-to-7-years-070518004367?src=jobsearchDesk&sid=15518446024382&xp=1&px=1,070518004367,"Data Science @sapient(perm) ,",Keyassignments IT Solutions Pvt Ltd,"Python, R, Unix, Linux, SQL",Bengaluru,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Senior-Manager-Data-Science-Gurgaon-HR-Optum-a-UnitedHealth-Group-Company-Gurgaon-8-to-13-years-050319900979?src=jobsearchDesk&sid=15518446024382&xp=2&px=1,050319900979,"Senior Manager - Data Science - Gurgaon, HR","Optum, a UnitedHealth Group Company","Senior Manager - Data Science - Gurgaon, HR",Gurgaon,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Data-Science-Business-Manager-vConstruct-Private-Limited-Pune-Hadapsar-8-to-13-years-050319008025?src=jobsearchDesk&sid=15518446024382&xp=3&px=1,050319008025,Data Science Business Manager,vConstruct Private Limited,"Data Mining, Data Analysis, Data Science, Pricing Strategy, Test Data...",Pune(Hadapsar),Not disclosed,1 day ago
https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-5-years-010319901757?src=jobsearchDesk&sid=15518446024382&xp=4&px=1,010319901757,Data Science (jupyter/azure Ml/matlab),Accenture,"Python, Data modeling, MATLAB, SPSS, Computer science, Machine learning...",Bengaluru,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Team-Lead-Data-Science-Shell-India-Markets-Private-Limited-Chennai-2-to-3-years-040319900570?src=jobsearchDesk&sid=15518446024382&xp=5&px=1,040319900570,Team Lead - Data Science,Shell India Markets Private Limited,"Factor Analysis, Deep Learning, Neural Networks, R, Multivariate Analysis...",Chennai,Not disclosed,2 days ago
https://www.naukri.com/job-listings-Data-Science-spark-Professional-Cognizant-Technology-Solutions-India-Ltd-Chennai-Hyderabad-3-to-6-years-190219004818?src=jobsearchDesk&sid=15518446024382&xp=6&px=1,190219004818,Data Science/spark Professional,Cognizant Technology Solutions India Ltd,"Data Science / Spark, Azure ML, R, Python, Machine learning...","Chennai, Hyderabad",Not disclosed,15 days ago
https://www.naukri.com/job-listings-Data-Science-Trainer-WebTek-Labs-Pvt-Ltd-Delhi-NCR-Rajouri-garden-2-to-5-years-050319005958?src=jobsearchDesk&sid=15518446024382&xp=7&px=1,050319005958,Data Science Trainer,WebTek Labs Pvt. Ltd.,"presentable, data science, communication skills, trainers",Delhi NCR(Rajouri garden),"2,00,000 - 3,50,000 P.A.",1 day ago
https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-4-years-220219901505?src=jobsearchDesk&sid=15518446024382&xp=8&px=1,220219901505,Data Science (jupyter/azure Ml/matlab),Accenture,"MATLAB, Analytical, Python, Data mining, Analytics, Machine learning...",Bengaluru,Not disclosed,12 days ago
https://www.naukri.com/job-listings-Opening-for-Data-Science-With-the-Leadng-Product-Based-Company-Avyayh-Chennai-6-to-11-years-120219009028?src=jobsearchDesk&sid=15518446024382&xp=9&px=1,120219009028,Opening for Data Science With the Leadng Product Based Company,Avyayh,"data science, spark, python, postgresql",Chennai,"10,00,000 - 18,00,000 P.A.",2 days ago
https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-4-years-220219901499?src=jobsearchDesk&sid=15518446024382&xp=10&px=1,220219901499,Data Science (jupyter/azure Ml/matlab),Accenture,"MATLAB, Python, Data mining, Analytics, Machine learning, Outsourcing...",Bengaluru,Not disclosed,12 days ago
https://www.naukri.com/job-listings-Senior-Analyst-Data-Science-Iit-nit-iim-xlri-fms-HuQuo-Consulting-Pvt-Ltd-Gurgaon-2-to-5-years-050319005681?src=jobsearchDesk&sid=15518446024382&xp=11&px=1,050319005681,Senior Analyst - Data Science - Iit/nit/iim/xlri/fms,HuQuo Consulting Pvt. Ltd.,"Analyst - Data Science, Python, SQL, R, machine learning, regression...",Gurgaon,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Vice-President-Data-Science-Value-C-Consulting-Services-Private-Limited-Singapore-United-Kingdom-U-K-10-to-20-years-030319000605?src=jobsearchDesk&sid=15518446024382&xp=12&px=1,030319000605,Vice President- Data Science,Value C Consulting Services Private Limited,Data Scientist,"Singapore, United Kingdom (U.K)","50,00,000 - 1 Cr & above P.A.",3 days ago
https://www.naukri.com/job-listings-Business-Analyst-Data-Science-Iit-bits-nsit-Impendi-Analytics-Delhi-1-to-3-years-010319902764?src=jobsearchDesk&sid=15518446024382&xp=13&px=1,010319902764,Business Analyst - Data Science - Iit/bits/nsit,Impendi Analytics,"statistical modeling, predictive modeling, r, business analysis...",Delhi,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Manager-Data-Science-Machine-Learning-Engineering-and-Client-Manageme-Crescendo-Global-Services-Delhi-NCR-6-to-10-years-020319002201?src=jobsearchDesk&sid=15518446024382&xp=14&px=1,020319002201,Manager- Data Science Machine Learning Engineering and Client Manageme,Crescendo Global Services,"Natural Language Processing, Data Science, Machine Learning, Python, R...",Delhi NCR,"18,00,000 - 25,00,000 P.A.",1 day ago
https://www.naukri.com/job-listings-Consultant-Data-Science-Allstate-Solutions-Private-Limited-Bengaluru-2-to-4-years-270219904507?src=jobsearchDesk&sid=15518446024382&xp=15&px=1,270219904507,Consultant - Data Science,Allstate Solutions Private Limited,"hadoop, hive, deep learning, r, text mining, mapreduce, data science...",Bengaluru,Not disclosed,6 days ago
https://www.naukri.com/job-listings-Product-Analyst-data-Science-Amazon-Development-Centre-India-Pvt-Ltd-Chennai-3-to-8-years-260219009302?src=jobsearchDesk&sid=15518446024382&xp=16&px=1,260219009302,Product Analyst (data Science),Amazon Development Centre (India) Pvt. Ltd.,"data science, business analysis, sql, Analytics, Python, Robot Programming,...",Chennai,"12,00,000 - 22,00,000 P.A.",5 days ago
https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-4-years-220219901498?src=jobsearchDesk&sid=15518446024382&xp=17&px=1,220219901498,Data Science (jupyter/azure Ml/matlab),Accenture,"MATLAB, Python, Data mining, Analytics, Machine learning, Outsourcing...",Bengaluru,Not disclosed,12 days ago
https://www.naukri.com/job-listings-Senior-Analyst-Data-Science-Tiger-Analytics-Chennai-2-to-6-years-280219901770?src=jobsearchDesk&sid=15518446024382&xp=18&px=1,280219901770,Senior Analyst - Data Science,Tiger Analytics,"C, Data Science, Machine Learning, R, Python, Statistical Modeling, Java...",Chennai,Not disclosed,6 days ago
